customer_id,total_transactions,days_as_customer,total_spent,days_since_last_purchase,purchase_count,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score
1,5,30,500,5,5,5.0,100.0,500.0,medium,Q1,5,1,1,7
2,20,120,2400,10,20,5.0,120.0,600.0,medium,Q3,4,3,3,10
3,2,60,150,45,2,1.0,75.0,75.0,low,Q1,1,1,1,3
4,50,365,7500,3,50,4.109589041095891,150.0,616.4383561643835,medium,Q4,5,5,5,15
5,8,90,800,20,8,2.6666666666666665,100.0,266.6666666666667,medium,Q2,2,2,2,6
6,15,180,1800,15,15,2.5,120.0,300.0,medium,Q2,3,3,3,9
7,30,240,4200,7,30,3.75,140.0,525.0,medium,Q4,4,4,4,12
8,3,45,250,60,3,2.0,83.33333333333333,166.66666666666666,low,Q1,1,1,1,3
9,12,150,1100,25,12,2.4,91.66666666666667,220.0,medium,Q2,2,3,3,8
10,40,300,6000,4,40,4.0,150.0,600.0,medium,Q4,5,5,5,15
11,7,75,650,35,7,2.8,92.85714285714286,260.0,medium,Q2,2,2,2,6
12,25,200,3500,12,25,3.75,140.0,525.0,medium,Q3,3,4,4,11
13,4,50,300,50,4,2.4,75.0,180.0,medium,Q1,1,1,1,3
14,18,100,2100,18,18,5.3999999999999995,116.66666666666667,630.0,medium,Q3,3,3,3,9
15,35,330,5200,6,35,3.1818181818181817,148.57142857142858,472.72727272727275,medium,Q4,4,5,5,14
16,10,110,950,28,10,2.7272727272727275,95.0,259.0909090909091,medium,Q2,2,2,2,6
17,6,80,550,40,6,2.25,91.66666666666667,206.25,medium,Q1,1,2,2,5
18,22,220,2900,9,22,3.0,131.8181818181818,395.4545454545455,medium,Q3,4,4,4,12
19,28,260,3900,14,28,3.230769230769231,139.28571428571428,450.00000000000006,medium,Q3,3,4,4,11
20,45,350,6800,2,45,3.857142857142857,151.11111111111111,582.8571428571429,medium,Q4,5,5,5,15
