customer_id,customer_type,signup_date
1,SMB,2024-01-01
2,Startup,2024-01-02
3,Startup,2024-01-03
4,SMB,2024-01-04
5,Enterprise,2024-01-05
6,Enterprise,2024-01-06
7,Enterprise,2024-01-07
8,Startup,2024-01-08
9,SMB,2024-01-09
10,Startup,2024-01-10
11,Enterprise,2024-01-11
12,Startup,2024-01-12
13,Startup,2024-01-13
14,SMB,2024-01-14
15,Enterprise,2024-01-15
16,Enterprise,2024-01-16
17,SMB,2024-01-17
18,SMB,2024-01-18
19,SMB,2024-01-19
20,SMB,2024-01-20
21,SMB,2024-01-21
22,Enterprise,2024-01-22
23,SMB,2024-01-23
24,SMB,2024-01-24
25,SMB,2024-01-25
26,Startup,2024-01-26
27,Enterprise,2024-01-27
28,SMB,2024-01-28
29,SMB,2024-01-29
30,Enterprise,2024-01-30
31,SMB,2024-01-31
32,Enterprise,2024-02-01
33,Enterprise,2024-02-02
34,Startup,2024-02-03
35,Startup,2024-02-04
36,Startup,2024-02-05
37,SMB,2024-02-06
38,Enterprise,2024-02-07
39,SMB,2024-02-08
40,SMB,2024-02-09
41,Enterprise,2024-02-10
42,SMB,2024-02-11
43,Enterprise,2024-02-12
44,Startup,2024-02-13
45,SMB,2024-02-14
46,SMB,2024-02-15
47,SMB,2024-02-16
48,SMB,2024-02-17
49,SMB,2024-02-18
50,Enterprise,2024-02-19
51,Startup,2024-02-20
52,Startup,2024-02-21
53,Startup,2024-02-22
54,Startup,2024-02-23
55,SMB,2024-02-24
56,Startup,2024-02-25
57,Enterprise,2024-02-26
58,Enterprise,2024-02-27
59,Enterprise,2024-02-28
60,SMB,2024-02-29
61,SMB,2024-03-01
62,SMB,2024-03-02
63,Startup,2024-03-03
64,SMB,2024-03-04
65,SMB,2024-03-05
66,SMB,2024-03-06
67,Enterprise,2024-03-07
68,Startup,2024-03-08
69,Enterprise,2024-03-09
70,Startup,2024-03-10
71,Startup,2024-03-11
72,Enterprise,2024-03-12
73,Enterprise,2024-03-13
74,Startup,2024-03-14
75,Startup,2024-03-15
76,Startup,2024-03-16
77,Startup,2024-03-17
78,Enterprise,2024-03-18
79,SMB,2024-03-19
80,Enterprise,2024-03-20
81,Startup,2024-03-21
82,SMB,2024-03-22
83,SMB,2024-03-23
84,Enterprise,2024-03-24
85,SMB,2024-03-25
86,SMB,2024-03-26
87,Startup,2024-03-27
88,SMB,2024-03-28
89,Startup,2024-03-29
90,SMB,2024-03-30
91,Enterprise,2024-03-31
92,Startup,2024-04-01
93,Startup,2024-04-02
94,SMB,2024-04-03
95,Startup,2024-04-04
96,SMB,2024-04-05
97,SMB,2024-04-06
98,SMB,2024-04-07
99,Enterprise,2024-04-08
100,Enterprise,2024-04-09
101,Enterprise,2024-04-10
102,SMB,2024-04-11
103,SMB,2024-04-12
104,SMB,2024-04-13
105,Startup,2024-04-14
106,SMB,2024-04-15
107,SMB,2024-04-16
108,Startup,2024-04-17
109,SMB,2024-04-18
110,Enterprise,2024-04-19
111,SMB,2024-04-20
112,Enterprise,2024-04-21
