transaction_id,customer_id,transaction_date,amount,customer_type,product,payment_status
1,103,2025-01-01 00:00:00.000000,495.46,SMB,Product_A,success
2,271,2025-01-01 04:19:27.567567,116.31,SMB,Product_A,success
3,107,2025-01-01 08:38:55.135135,497.43,Startup,Product_B,success
4,72,2025-01-01 12:58:22.702702,63.11,SMB,Product_A,success
5,189,2025-01-01 17:17:50.270270,21.11,SMB,Product_B,success
6,21,2025-01-01 21:37:17.837837,41.2,Startup,Product_B,success
7,103,2025-01-02 01:56:45.405405,184.06,SMB,Product_B,success
8,122,2025-01-02 06:16:12.972972,323.8,SMB,Product_C,success
9,215,2025-01-02 10:35:40.540540,53.13,SMB,Product_C,success
10,88,2025-01-02 14:55:08.108108,22.72,SMB,Product_C,success
11,100,2025-01-02 19:14:35.675675,469.8,Startup,Product_B,success
12,152,2025-01-02 23:34:03.243243,414.52,Enterprise,Product_B,failed
13,131,2025-01-03 03:53:30.810810,408.41,SMB,Product_C,success
14,150,2025-01-03 08:12:58.378378,444.52,Enterprise,Product_A,success
15,258,2025-01-03 12:32:25.945945,356.02,Startup,Product_B,success
16,294,2025-01-03 16:51:53.513513,70.11,SMB,Product_A,success
17,192,2025-01-03 21:11:21.081081,211.57,Startup,Product_A,failed
18,277,2025-01-04 01:30:48.648648,367.11,SMB,Product_B,success
19,161,2025-01-04 05:50:16.216216,154.56,Startup,Product_B,success
20,22,2025-01-04 10:09:43.783783,349.96,Startup,Product_A,success
21,253,2025-01-04 14:29:11.351351,31.76,Startup,Product_A,success
22,236,2025-01-04 18:48:38.918918,166.95,Startup,Product_C,success
23,49,2025-01-04 23:08:06.486486,283.58,SMB,Product_C,success
24,59,2025-01-05 03:27:34.054054,323.4,SMB,Product_B,success
25,170,2025-01-05 07:47:01.621621,296.98,SMB,Product_C,success
26,188,2025-01-05 12:06:29.189189,354.92,Enterprise,Product_C,success
27,271,2025-01-05 16:25:56.756756,22.92,SMB,Product_C,success
28,190,2025-01-05 20:45:24.324324,68.45,SMB,Product_C,success
29,175,2025-01-06 01:04:51.891891,437.09,SMB,Product_A,success
30,51,2025-01-06 05:24:19.459459,347.24,SMB,Product_B,success
31,55,2025-01-06 09:43:47.027027,74.21,Startup,Product_C,success
32,244,2025-01-06 14:03:14.594594,424.2,SMB,Product_A,failed
33,131,2025-01-06 18:22:42.162162,136.27,Startup,Product_A,success
34,135,2025-01-06 22:42:09.729729,249.56,Startup,Product_A,success
35,21,2025-01-07 03:01:37.297297,89.69,Startup,Product_C,success
36,167,2025-01-07 07:21:04.864864,360.85,SMB,Product_C,success
37,274,2025-01-07 11:40:32.432432,340.09,Startup,Product_B,success
38,89,2025-01-07 16:00:00.000000,121.33,Startup,Product_C,success
39,14,2025-01-07 20:19:27.567567,434.43,Startup,Product_C,success
40,242,2025-01-08 00:38:55.135135,212.63,Enterprise,Product_A,failed
41,265,2025-01-08 04:58:22.702702,160.41,SMB,Product_B,success
42,53,2025-01-08 09:17:50.270270,93.12,SMB,Product_C,success
43,92,2025-01-08 13:37:17.837837,147.76,Enterprise,Product_C,success
44,264,2025-01-08 17:56:45.405405,30.57,SMB,Product_A,success
45,35,2025-01-08 22:16:12.972972,299.96,Startup,Product_A,success
46,206,2025-01-09 02:35:40.540540,424.27,Startup,Product_C,success
47,81,2025-01-09 06:55:08.108108,283.51,Enterprise,Product_B,success
